MCT_NM,MCT_TYPE,latitude,longitude,ADDR,LOCAL_UE_CNT_RAT,MONTH
주식회사장인의집,단품요리 전문,33.364338,126.3552026,제주 제주시 애월읍 봉성리 3404-2번지 1층,100.0,06월
예감공사,커피,33.4878214,126.5475578,제주 제주시 아라이동 1344-1번지 2층,100.0,12월
샤커,단품요리 전문,33.4876719,126.4317725,제주 제주시 외도일동 550-7번지 2층,100.0,09월
미식가,가정식,33.3082455,126.1645996,제주 제주시 한경면 고산리 3615-6번지,100.0,02월
볼튼라운지펍,단품요리 전문,33.4991008,126.5296443,제주 제주시 이도이동 1768-2번지 4층,100.0,09월
총총휴게음식점,가정식,33.2431522,126.4515476,제주 서귀포시 하원동 1715-3번지 1층,100.0,06월
사쿠라,가정식,33.4863507,126.4313911,제주 제주시 외도일동 549-6번지 2층,100.0,02월
마음휴양소카페,단품요리 전문,33.5129009,126.5316166,제주 제주시 일도일동 1067번지 1층,100.0,09월
예감공사,커피,33.4878214,126.5475578,제주 제주시 아라이동 1344-1번지 2층,100.0,11월
블링블링,디저트/간식,33.4901021,126.4915739,제주 제주시 연동 271-20번지 1층 103호,100.0,12월
풍류담원제과제빵커피학원,베이커리,33.4838459,126.4434897,제주 제주시 내도동 96-1번지 3층,100.0,10월
올레길다방,커피,33.2483774,126.566313,제주 서귀포시 서귀동 204-11번지 2층,100.0,08월
루체,단품요리 전문,33.499215,126.5312611,제주 제주시 이도이동 1179-10번지 지하1층,100.0,09월
애플웨딩식당,세계 요리,33.2541442,126.5493099,제주 서귀포시 서홍동 1346번지 충,100.0,11월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,01월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,02월
행진,단품요리 전문,33.2498324,126.5652403,제주 서귀포시 서귀동 270-31번지,100.0,09월
주식회사장인의집,단품요리 전문,33.364338,126.3552026,제주 제주시 애월읍 봉성리 3404-2번지 1층,100.0,01월
화용다방,커피,33.2486706,126.5630874,제주 서귀포시 서귀동 275-7번지 2층,100.0,02월
제주씨푸드,단품요리 전문,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,100.0,08월
그라인딩홀덤펍,단품요리 전문,33.5032152,126.5419849,제주 제주시 이도이동 408-1번지 2층 201호,100.0,02월
머큐리,단품요리 전문,33.4801667,126.4902684,제주 제주시 연동 1485-11번지 1층,100.0,02월
아띠랑,단품요리 전문,33.2457102,126.5670811,제주 서귀포시 서귀동 163-11번지 남양오피스텔 101호,100.0,02월
볼튼라운지펍,단품요리 전문,33.4991008,126.5296443,제주 제주시 이도이동 1768-2번지 4층,100.0,08월
마키산도,단품요리 전문,33.364338,126.3552026,제주 제주시 애월읍 봉성리 4554번지 봉성리 4554-12,100.0,08월
정표네포차,단품요리 전문,33.5086735,126.5400675,제주 제주시 일도이동 355-19번지,100.0,02월
제이엠,단품요리 전문,33.4878532,126.4779634,제주 제주시 노형동 1065-8번지 3층,100.0,02월
제주씨푸드,단품요리 전문,33.5241111,126.5897835,제주 제주시 삼양일동 1662-12번지,100.0,01월
세영이네,가정식,33.2496172,126.5634009,제주 서귀포시 서귀동 276-13번지,100.0,05월
금하순대,단품요리 전문,33.441213,126.2886333,제주 제주시 한림읍 귀덕리 2979번지,100.0,01월
서귀포일터나눔 지역자활센터 - 엄블랑디,가정식,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,100.0,06월
아띠랑,단품요리 전문,33.2457102,126.5670811,제주 서귀포시 서귀동 163-11번지 남양오피스텔 101호,100.0,01월
온기,단품요리 전문,33.4950234,126.546744,제주 제주시 이도이동 1952-5번지 지하1층,100.0,01월
온기,단품요리 전문,33.4950234,126.546744,제주 제주시 이도이동 1952-5번지 지하1층,100.0,09월
도원유통,분식,33.4873301,126.4853556,제주 제주시 노형동 916-4번지 1층,100.0,03월
따봉,가정식,33.2493581,126.5631598,제주 서귀포시 서귀동 276-6번지,100.0,07월
서귀포일터나눔 지역자활센터 - 엄블랑디,가정식,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,100.0,05월
까브,양식,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,100.0,10월
서부식당,가정식,33.4168241,126.2639066,제주 제주시 한림읍 한림리 1314-134번지 1층,100.0,08월
다소니전집,단품요리 전문,33.5093758,126.5263743,제주 제주시 이도일동 1549-7번지 1층,100.0,10월
비에이치,치킨,33.476915,126.4506659,제주 제주시 도평동 965-2번지,100.0,02월
효진이네,가정식,33.2489904,126.5671208,제주 서귀포시 서귀동 256-35번지,100.0,02월
총총휴게음식점,가정식,33.2431522,126.4515476,제주 서귀포시 하원동 1715-3번지 1층,100.0,08월
서귀포일터나눔 지역자활센터 - 엄블랑디,가정식,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,100.0,09월
까브,양식,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,100.0,09월
서귀포일터나눔 지역자활센터 - 엄블랑디,가정식,33.2523903,126.5575943,제주 서귀포시 서귀동 330-25번지 서귀동,100.0,08월
까브,양식,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,100.0,08월
까브,양식,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,100.0,07월
까브,양식,33.4748682,126.4840848,제주 제주시 노형동 701-10번지 1층,100.0,06월
아일랜드팩토리,단품요리 전문,33.4967524,126.4511239,제주 제주시 이호일동 1707번지,100.0,11월
